,0
0," Option 2: Maria. Since Maria's cruise is 2 days long, she has traveled a greater distance than Tina, who took the same cruise but for a shorter time."
1, Option 1: less resistance 
2, Option 1: less. The person with a weight of 27 kg is stronger than the person with a weight of 43 lb because 27 kg is greater than 43 lb. 
3," Option 1: slower. The lamborghini weighs less than the truck, so it will accelerate faster. "
4," Option 2: The sports car would. The sports car has a smaller size, which means it has less weight and less inertia, making it more agile and able to accelerate more quickly than the larger and heavier tractor trailer."
5," Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the sh"
6," Option 2: blue window. The blue window is more powerful because it needs fewer punches to break, indicating that it is stronger. "
7," Option 2: blue window. The blue window is more powerful because it needs fewer punches to break, indicating that it has more resistance to breaking. "
8," Option 1: more. When the coaster slides over the coffee table, it will heat up more because it has a lower friction surface, which means it will take less energy to move it. "
9, Option 1: worm. 
10," Option 1: business card. The business card has a smaller thickness, which means it is less strong than the cardboard sheet. "
11," Option 1: Tortoise. The tortoise has a slower speed than the hare, so it will take longer to get home. "
12, Option 1: less. The person with a weight of 79 kg is stronger than John because they have more mass. 
13," Option 1: bushes. The butterfly creates less heat flying through the bushes because it has to move through a denser medium, which creates more resistance and thus more heat. "
14," Option 2: The sports car would. The sports car is smaller and lighter than the tractor trailer, so it would have less inertia to overcome and could take off more speedily."
15," Option 2: tree. The tree offers more resistance because it has more friction than the web, which means the spider has to work harder to move around on it."
16," Option 2: floor. The receipt traveled a shorter distance on the floor, indicating that it was smoother."
17," Option 2: the female. The female robin stopped to rest after 42 mins, which means it covered less distance than the male robin, which stopped after 3 hours. Therefore, the female robin covered more distance."
18," Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than the shingles of the roof because it takes less time for the rain to travel over the driveway, indicating that it is smoother. [/] Option 2: driveway. The driveway is smoother than"
19," Option 2: swept yard. The swept yard has a smoother surface, which means the dog can run faster there. The rocky yard has a rougher surface, which means the dog will have to work harder to move around, and will therefore run slower."
20," Option 1: Tortoise. The tortoise has a slower speed than the hare, so it will take longer to get home. "
21, Option 2: more resistance 
22," Option 2: The sports car would. The sports car has a smaller size, which means it has less mass and therefore less inertia, making it more agile and able to accelerate more quickly. "
23," Option 2: Maria. Since Maria's cruise is 2 days long, she has traveled a greater distance than Tina, who took the same cruise but for a shorter time."
24," Option 1: watermelon. The watermelon is farther away from Harry, so it appears smaller. "
25," Option 2: tile floor. The tile floor has less friction than the door mat, so the shopping cart moves faster over the tile floor. "
26," Option 1: shorter. The bowling ball will generate more heat in the yellow alley, which means it will slow down less, so it will go a shorter distance in the yellow alley compared to the green alley."
27," Option 1: business card. The business card has a smaller thickness, which means it is less strong than the cardboard sheet. "
28, Option 1: less friction 
29, Option 1: watermelon. 
30," Option 1: Street light that is 0.2 mile away. The street light that is closer to John, which is 0.2 miles away, will appear brighter because light travels faster through a shorter distance.  Option 2: Street light that is 3 mile away. The street light that is farther away, which is 3 miles away, will appear dimmer because light travels slower through a longer distance."
31," Option 1: faster. The car has a lower weight than the dump truck, so it will experience less resistance and accelerate faster. "
32," Option 2: floor. The sales counter had a greater distance to cover, indicating that it was less smooth. "
33," Option 2: new tracks. The trolley can go a greater distance on the new tracks because it has a lower friction force, which means it will have less resistance and can move faster."
34," Option 2: new tracks. The trolley can go a greater distance on the new tracks because it has a lower friction force, which means it will have less resistance and can move faster."
35," Option 1: shorter. The bowling ball will generate more heat in the yellow alley, which means it will slow down less, so it will go a shorter distance in the yellow alley compared to the green alley."
